,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-01,713.352559943053,713.4494065451659,685.8898080043523,711.5604248046875,5710611,0.0,0.0
2020-12-02,711.0276153314227,734.2764746883084,707.685579973889,730.01416015625,6337698,0.0,0.0
2020-12-03,726.5753374465319,732.6781517003584,720.4240998900782,722.5067749023438,2957787,0.0,0.0
2020-12-04,725.6550618500808,740.52468157603,719.9397522383235,727.0596923828125,5356456,0.0,0.0
2020-12-07,726.5269397241516,732.1938262040344,720.7631475106905,728.7549438476562,3525945,0.0,0.0
2020-12-08,729.7720530817497,740.0887590403265,720.2787797776809,730.4017333984375,4333519,0.0,0.0
2020-12-09,733.1140751214168,739.0716194303669,726.7206619666161,731.3704223632812,3213975,0.0,0.0
2020-12-10,721.6834065965226,731.3220088854451,708.1699940708402,713.1104125976562,3814006,0.0,0.0
2020-12-11,715.7742886421246,723.3301561877465,699.500039620899,704.7794799804688,4197494,0.0,0.0
2020-12-14,708.7511625769353,714.3212015967263,687.7787311394125,689.425537109375,4183639,0.0,0.0
2020-12-15,687.7787233123688,697.4657475843741,679.0604014675641,695.4799194335938,5495877,0.0,0.0
2020-12-16,714.0305914988462,722.8942430535873,703.4717696883185,709.0418090820312,11262389,0.0,0.0
2020-12-17,712.0932107245267,715.3383996958063,702.6483609963927,707.7825317382812,3630553,0.0,0.0
2020-12-18,703.374928314799,714.8540895035369,699.9360459386045,710.6401977539062,6671658,0.0,0.0
2020-12-21,706.1841380669575,707.1528405883114,639.5858397238803,664.4815063476562,9130116,0.0,0.0
2020-12-22,667.242240503606,677.462039599163,646.4151376797607,673.296630859375,7305751,0.0,0.0
2020-12-23,671.3108751695088,692.6223315240964,666.709538002041,689.2318725585938,4383472,0.0,0.0
2020-12-24,690.2005351243617,699.9359834790289,678.1886004069707,688.650634765625,3373695,0.0,0.0
2020-12-28,693.0097734783698,696.3033264146874,685.1632479648317,688.6990356445312,2484872,0.0,0.0
2020-12-29,692.1379885736799,694.5597450067578,681.9666115547525,684.921142578125,2808820,0.0,0.0
2020-12-30,687.7787920662598,701.6312263350068,682.3055991554869,698.1439208984375,3219036,0.0,0.0
2020-12-31,697.2236235961956,702.842086264938,691.1692329779584,698.0469970703125,3723205,0.0,0.0
2021-01-01,702.309338366251,721.4412134458835,700.3719332948959,709.5261840820312,9543128,0.0,0.0
2021-01-04,711.9963475049078,727.4955877227017,704.4889030244138,725.655029296875,4547027,0.0,0.0
2021-01-05,724.5894800490656,724.5894800490656,707.1528348072432,716.9367065429688,3551554,0.0,0.0
2021-01-06,717.8086170101445,723.0880579345946,707.588816541663,713.0619506835938,3601608,0.0,0.0
2021-01-07,719.745965686174,731.3703958183868,716.9367047542589,721.1021728515625,4063641,0.0,0.0
2021-01-08,726.5269720732276,748.6133801992705,721.6834589260728,746.3853759765625,5998381,0.0,0.0
2021-01-11,748.8554735387237,766.6312003097357,739.3137773376657,764.4031372070312,6643610,0.0,0.0
2021-01-12,765.226619581132,771.8137853404796,753.0694139526814,755.4426879882812,5532160,0.0,0.0
2021-01-13,760.0439487496341,811.2883340360218,757.7675215518543,802.4246826171875,19610461,0.0,0.0
2021-01-14,802.9575669816883,817.4396227977071,801.4560307299384,803.92626953125,8576718,0.0,0.0
2021-01-15,802.0857129708769,811.7727384898488,789.8316020394128,793.9970703125,4996951,0.0,0.0
2021-01-18,792.3018351869822,795.1110370924699,772.201257378701,783.6803588867188,3955069,0.0,0.0
2021-01-19,784.6490525671286,793.948573243886,776.4635043295635,782.7600708007812,3991167,0.0,0.0
2021-01-20,781.7428971215984,805.9120356915412,776.8993847478586,798.6951904296875,4502291,0.0,0.0
2021-01-21,797.242220424625,808.8666513421165,775.2526601140543,782.953857421875,4455107,0.0,0.0
2021-01-22,782.7116916110147,800.8264418433315,770.1185579588572,773.4121704101562,5588252,0.0,0.0
2021-01-25,776.9963097852024,787.5067681722203,759.7049925153099,769.6826171875,3353172,0.0,0.0
2021-01-27,772.0559311751433,791.4299821456614,739.5075491946376,745.8525390625,6585102,0.0,0.0
2021-01-28,734.2765768612132,753.7474756319733,732.4360182560542,741.0574951171875,4622634,0.0,0.0
2021-01-29,748.3711395361848,774.9136129270023,722.6520987838077,726.139404296875,8761073,0.0,0.0
2021-02-01,729.4329611172715,783.5349705063521,718.3413059924326,770.2637939453125,6592083,0.0,0.0
2021-02-02,784.6490185134126,811.191490443953,777.4805964227096,791.2846069335938,5334431,0.0,0.0
2021-02-03,795.3048027678842,832.0186534883762,792.3986950842013,807.1229858398438,8802838,0.0,0.0
2021-02-04,808.866548972947,865.5840658214581,808.866548972947,839.3806762695312,14706560,0.0,0.0
2021-02-05,852.3613885653064,854.1050413122615,814.8725884436726,838.4120483398438,15668083,0.0,0.0
2021-02-08,863.1139468615479,922.2532239881905,863.1139468615479,899.3434448242188,21179625,0.0,0.0
2021-02-09,900.4090070159741,909.6116811059707,857.4954965054989,866.98876953125,9210613,0.0,0.0
2021-02-10,870.8635619425864,888.3002072317595,858.367275835382,885.5394287109375,6465767,0.0,0.0
2021-02-11,887.7674713811803,891.254776941104,874.1087298341698,885.587890625,3640848,0.0,0.0
2021-02-12,887.3315308407415,889.8017105044535,876.6758028502959,880.1146850585938,2484145,0.0,0.0
2021-02-15,882.3911202680457,891.2062892618685,870.137010140732,883.3113403320312,4178613,0.0,0.0
2021-02-16,886.3628681170267,892.9016105867424,873.8665810804932,883.6505126953125,4223635,0.0,0.0
2021-02-17,876.675790086562,891.3516570733342,876.2882854244049,886.3143920898438,3903522,0.0,0.0
2021-02-18,886.3143331719868,886.3143331719868,863.7435775371231,866.4559326171875,4616205,0.0,0.0
2021-02-19,862.145241527758,877.3054595933504,835.8449444986047,851.731689453125,5171996,0.0,0.0
2021-02-22,852.4582418462177,854.8799982150989,807.02606871604,810.90087890625,5960870,0.0,0.0
2021-02-23,815.7444046013392,830.1296731359373,793.4642456537321,814.6304321289062,7348084,0.0,0.0
2021-02-24,814.7756720725317,829.1125167766841,813.7101229424521,823.0096435546875,3184114,0.0,0.0
2021-02-25,826.4001099026314,839.4775941400713,815.6959587036349,832.115478515625,6134649,0.0,0.0
2021-02-26,821.5081680286032,829.8390452543197,773.5089695337396,781.1617431640625,12073749,0.0,0.0
2021-03-01,795.3047607570132,826.0126421508103,790.6550005337202,793.8032836914062,9223619,0.0,0.0
2021-03-02,806.8808135269695,840.8338266130316,794.3845267856358,833.1326293945312,9706013,0.0,0.0
2021-03-03,839.8166251427446,840.8337509196821,820.5394221802222,825.3829345703125,5028771,0.0,0.0
2021-03-04,815.50216426452,831.4373319856746,808.6728235625703,818.7957763671875,4574138,0.0,0.0
2021-03-05,813.7101515754754,833.8107297245125,812.1117686992015,814.09765625,5179108,0.0,0.0
2021-03-08,821.4113746812101,830.5171435707272,813.7101772501102,824.3659057617188,3474579,0.0,0.0
2021-03-09,826.3032361957389,838.6057698257451,815.6475086480799,825.3345336914062,3536262,0.0,0.0
2021-03-10,829.5968953261261,847.6147392767879,822.4284727382776,836.7652587890625,3971353,0.0,0.0
2021-03-12,842.286861672496,848.777180539693,817.730275841842,829.015625,4012449,0.0,0.0
2021-03-15,835.0215524064577,835.0215524064577,798.2108575207902,817.972412109375,3069303,0.0,0.0
2021-03-16,825.3345378396256,829.693699131032,813.7101077292083,816.4708862304688,2996797,0.0,0.0
2021-03-17,821.072200158393,824.7048344661813,807.6072711324689,810.7555541992188,2034583,0.0,0.0
2021-03-18,815.6475008173867,833.6169202752585,807.8978808571266,819.1832885742188,5033325,0.0,0.0
2021-03-19,813.6616363772936,833.0841087147911,794.868785158649,823.6876831054688,7538327,0.0,0.0
2021-03-22,823.2034013357016,832.4544987078066,806.1058370903772,826.3516845703125,2906300,0.0,0.0
2021-03-23,833.0357983442237,837.9277345649671,815.1632238571327,818.2146606445312,3925212,0.0,0.0
2021-03-24,810.0774830152419,818.5536300722026,783.2928346652823,786.0052490234375,4066262,0.0,0.0
2021-03-25,786.3927739846401,788.5239315706249,763.434510097957,766.921875,4501404,0.0,0.0
