,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-01,181.7834408927232,181.83327337259345,177.54664572993337,179.19151306152344,48881250,0.0,0.0
2020-12-02,183.42830737981834,186.76790493025274,180.53732383718827,183.02955627441406,88107889,0.0,0.0
2020-12-03,184.4252084102051,185.42210142863863,182.6806456279464,184.2756805419922,33332481,0.0,0.0
2020-12-04,185.92053965652931,188.21339653907344,181.63389682592592,183.5778350830078,47995639,0.0,0.0
2020-12-07,183.87690338980033,185.87068930936744,182.1323407101791,182.97970581054688,29802472,0.0,0.0
2020-12-08,184.37536011144198,185.1230298728115,178.394002020486,181.2351531982422,42143391,0.0,0.0
2020-12-09,182.43141040572596,185.8208403614992,181.08559883457463,182.13233947753906,40300535,0.0,0.0
2020-12-10,182.13234767719823,182.13234767719823,175.8519187480438,177.04820251464844,38368777,0.0,0.0
2020-12-11,177.39709873491017,180.88622408596467,175.95160698889202,178.2943115234375,43065542,0.0,0.0
2020-12-14,180.437635398674,180.93608190530017,176.15099239941287,177.09803771972656,33186273,0.0,0.0
2020-12-15,175.90176198771712,179.1416641489383,172.711707517406,178.34414672851562,41190341,0.0,0.0
2020-12-16,180.43763142472955,183.22893484263668,179.54043381711432,181.98281860351562,51259394,0.0,0.0
2020-12-17,183.42830917750254,183.42830917750254,180.0887115943385,181.1354522705078,34101954,0.0,0.0
2020-12-18,180.33793234363657,180.9360742107031,176.10113721749065,179.98902893066406,46065197,0.0,0.0
2020-12-21,175.45316358599248,176.99835073939505,161.99510842456692,164.0387420654297,75582907,0.0,0.0
2020-12-22,164.0387488780234,168.67429531936753,156.2131326153454,164.4375,110009846,0.0,0.0
2020-12-23,164.48733849649162,169.17273236896426,162.89230367500417,168.67428588867188,56930071,0.0,0.0
2020-12-24,171.46559600466878,177.44695400483164,171.46559600466878,175.4033203125,73831319,0.0,0.0
2020-12-28,179.29120703677884,186.8177368036736,178.4438419263199,185.77101135253906,98012135,0.0,0.0
2020-12-29,187.3161910059391,187.8644852052123,180.53733068853265,182.88002014160156,71318085,0.0,0.0
2020-12-30,182.53110962938035,184.82395130054488,179.83948643039662,183.5778350830078,38576159,0.0,0.0
2020-12-31,184.27567104321903,186.9174313213422,182.23203741849647,183.27877807617188,48978310,0.0,0.0
2021-01-01,184.37536026826427,186.4189939933552,183.92676145333706,185.92054748535156,27334421,0.0,0.0
2021-01-04,191.20407392441496,192.40034244135995,188.16354733578595,190.70562744140625,63980597,0.0,0.0
2021-01-05,186.51867827765915,193.29753821391714,184.47504467420814,192.59971618652344,75752593,0.0,0.0
2021-01-06,193.8458319329001,196.98605386595966,190.05763566405872,194.79287719726562,75621947,0.0,0.0
2021-01-07,196.38792564847722,199.72752336207708,194.49383498819634,196.13870239257812,66024848,0.0,0.0
2021-01-08,198.13247413090355,200.87392974780911,196.4876068453119,197.53433227539062,53991568,0.0,0.0
2021-01-11,199.27890225745904,224.69967345666504,199.02967901040802,219.9644317626953,182483100,0.0,0.0
2021-01-12,226.29470983949975,251.61578582509443,223.40372623887748,237.0611572265625,390577839,0.0,0.0
2021-01-13,242.14530817793704,248.0269861155873,237.6592895934117,241.84625244140625,164649387,0.0,0.0
2021-01-14,242.09546130010034,249.02386432637732,237.8586662222083,244.33847045898438,86819519,0.0,0.0
2021-01-15,245.23568340971522,263.82773218528985,241.84625321949895,259.4912414550781,250038029,0.0,0.0
2021-01-18,260.83703803081346,261.634570655928,240.4007322621722,245.18582153320312,173383224,0.0,0.0
2021-01-19,250.71859547636626,260.886916487852,250.51921991388974,257.84637451171875,136861059,0.0,0.0
2021-01-20,259.192168938389,276.6377956938575,258.0457481218671,274.0458679199219,205145151,0.0,0.0
2021-01-21,280.1269341144825,298.0710081858728,279.13004111051634,289.6971130371094,283614463,0.0,0.0
2021-01-22,295.0304884974937,305.94644833404215,277.48516603051354,288.45098876953125,316008609,0.0,0.0
2021-01-25,295.9775356777404,298.56946365040966,276.48828903427216,278.2826843261719,164346913,0.0,0.0
2021-01-27,274.045886580277,274.1455819673627,264.8744890008435,266.66888427734375,126586833,0.0,0.0
2021-01-28,259.2420111040963,272.55053866796857,258.2451181093907,265.9710388183594,129156876,0.0,0.0
2021-01-29,272.15177423638096,277.9337411536183,259.79030779151464,261.8837890625,138442348,0.0,0.0
2021-02-01,268.9118904547763,281.12382987301913,254.5566371415572,278.7312927246094,165655500,0.0,0.0
2021-02-02,292.68778745283123,327.8282652908144,289.4977177211303,320.9995422363281,251965965,0.0,0.0
2021-02-03,338.1461230310755,340.837715919304,325.18651382940794,329.9715881347656,224190114,0.0,0.0
2021-02-04,327.9777781686889,333.4606893538798,321.4481415627013,325.1366271972656,121033002,0.0,0.0
2021-02-05,326.58214763027934,328.9746847072346,311.6287528708596,314.9184875488281,103512235,0.0,0.0
2021-02-08,317.7596475104034,338.19595425224895,317.0119777515554,334.9062194824219,102123614,0.0,0.0
2021-02-09,335.9529219044772,337.4482613194823,321.19891851219694,324.0400390625,105981081,0.0,0.0
2021-02-10,324.9871290789658,331.61646167041084,318.5073243580661,327.87811279296875,93466949,0.0,0.0
2021-02-11,325.4357414359313,330.32051119272523,322.39519944429395,323.990234375,55257166,0.0,0.0
2021-02-12,325.38587005365565,329.47313744999275,320.25187717340447,324.38897705078125,64093642,0.0,0.0
2021-02-15,328.87497718273426,334.75663948641227,322.9933148790562,332.31427001953125,78680452,0.0,0.0
2021-02-16,334.4077662571336,336.85013583330533,326.48245480348703,328.17718505859375,65943843,0.0,0.0
2021-02-17,325.8843044044274,333.21147378691126,324.4388278578104,329.12420654296875,52150941,0.0,0.0
2021-02-18,330.4700365636105,330.71925981893753,320.1023552265592,322.84381103515625,49204247,0.0,0.0
2021-02-19,320.94969789236706,320.94969789236706,300.4635294861632,310.8810729980469,80274683,0.0,0.0
2021-02-22,311.47923623788216,312.9247128630855,301.2112198792221,303.5539245605469,57723298,0.0,0.0
2021-02-23,307.54147588470835,327.87808603369973,307.54147588470835,322.9933166503906,133310157,0.0,0.0
2021-02-24,323.99023247725034,328.974697592285,315.5166417816915,320.650634765625,50821757,0.0,0.0
2021-02-25,324.3391454082224,333.6601010937467,322.24566401222205,332.1148986816406,64514912,0.0,0.0
2021-02-26,321.99642671727634,331.91552385801117,317.8593270096402,321.94659423828125,91901339,0.0,0.0
2021-03-01,328.9746985749973,330.81895675762144,321.6973916544123,327.27996826171875,61190868,0.0,0.0
2021-03-02,330.0712745372052,346.1212577346769,325.43572822578966,344.6757507324219,127708761,0.0,0.0
2021-03-03,347.56673367397656,355.89079619616996,345.4234198374591,347.4172058105469,92006451,0.0,0.0
2021-03-04,337.9467273947256,344.3268365176256,336.2519971236421,338.1461181640625,59863169,0.0,0.0
2021-03-05,331.96535581394363,336.80029275644625,318.7066916096975,324.1397399902344,86738909,0.0,0.0
2021-03-08,330.71923759252644,330.71923759252644,317.8094616651013,320.2518615722656,81925952,0.0,0.0
2021-03-09,323.9902114291037,327.32980892377077,308.6380659567071,314.2206726074219,74702208,0.0,0.0
2021-03-10,318.5073099304167,323.44194239421716,315.7160217308033,320.4512634277344,58643853,0.0,0.0
2021-03-12,324.04005186255336,325.4855588565946,313.1739244355069,316.5633544921875,48360842,0.0,0.0
2021-03-15,319.0057486669695,319.40449976825147,309.0866515002524,317.56024169921875,45081385,0.0,0.0
2021-03-16,320.00265811481404,320.8998557446025,314.12099540535553,318.9559326171875,39267404,0.0,0.0
2021-03-17,317.61010159519424,319.0057456478519,303.0554583654593,304.849853515625,47262481,0.0,0.0
2021-03-18,310.0337144683937,315.6163211993218,298.81866852701296,306.046142578125,73731921,0.0,0.0
2021-03-19,302.5570331482424,310.03373083724347,289.2983680821849,307.9901123046875,109932681,0.0,0.0
2021-03-22,305.4978588293696,306.54458426507364,299.1675824681244,302.1083984375,56385019,0.0,0.0
2021-03-23,304.05234827010304,311.2798221224251,303.0554553249551,306.44488525390625,60240483,0.0,0.0
2021-03-24,302.6068582189278,304.05236523916886,292.2890399990198,293.53515625,61523819,0.0,0.0
2021-03-25,293.0865386855607,293.0865386855607,281.37304606802553,284.66278076171875,84528317,0.0,0.0
2021-03-26,289.59740260809986,300.463529702303,289.59740260809986,295.47906494140625,80924011,0.0,0.0
2021-03-30,299.5663375945963,300.36383980178437,291.79058459485515,296.1270446777344,45257233,0.0,0.0
2021-03-31,298.07101636886915,306.54460713520825,296.5756768218681,300.8623046875,58569012,0.0,0.0
2021-04-01,305.7969302340894,308.88730464374555,302.1084139350224,306.7938232421875,44088352,0.0,0.0
2021-04-05,305.8467661529201,310.7315662857111,296.27661750582405,304.1022033691406,66178755,0.0,0.0
2021-04-06,305.1987883446785,312.82501377207683,303.852976699194,306.7938232421875,63031783,0.0,0.0
2021-04-07,305.7969329485752,309.68480963011746,304.1520655551643,306.8436584472656,39073986,0.0,0.0
2021-04-08,306.9433577738105,318.80637874321906,306.54460664646484,312.9745788574219,62459774,0.0,0.0
2021-04-09,312.22689974645533,323.99022497649804,311.52906247740196,317.21136474609375,75462572,0.0,0.0
2021-04-12,306.89350645250937,306.89350645250937,282.0210147180962,285.65966796875,105342538,0.0,0.0
2021-04-13,286.3575203987106,303.60375749992033,279.6783249861899,301.9090576171875,116874853,0.0,0.0
2021-04-15,302.0585603666855,306.59441106777507,295.5787562664101,302.5570068359375,75262749,0.0,0.0
2021-04-16,301.06169059507306,314.02129979287423,299.2174324323724,309.0368347167969,75330709,0.0,0.0
2021-04-19,294.08342264669625,303.553905748878,291.8902459697191,300.4635314941406,65791784,0.0,0.0
2021-04-20,306.7439732003918,307.19255677469926,293.285918361515,297.1239318847656,56740291,0.0,0.0
2021-04-22,293.08654766865584,301.5601383325456,291.29215240305405,293.63482666015625,61022978,0.0,0.0
2021-04-23,290.0958687918527,299.06790597098217,289.59742228190106,293.0865478515625,58158986,0.0,0.0
2021-04-26,296.0772125735317,298.0709985167878,293.6846755261762,294.482177734375,30583139,0.0,0.0
2021-04-27,294.7812653271417,301.5601253983986,294.1831234566756,300.563232421875,35040532,0.0,0.0
2021-04-28,302.557017392027,308.5383752317376,302.05857090538444,304.9495544433594,44668126,0.0,0.0
2021-04-29,307.9402257378532,309.0368140658644,300.31400076561823,300.96197509765625,36647292,0.0,0.0
2021-04-30,297.2735023175397,300.36384625384613,291.6410325757817,292.93701171875,36121668,0.0,0.0
2021-05-03,288.4011442283798,293.8342234640805,284.11451632659185,292.08966064453125,35376618,0.0,0.0
2021-05-04,295.42924528120324,298.8186753811244,287.1550151654512,288.5506896972656,38640006,0.0,0.0
2021-05-05,292.58808524653597,292.9868363480101,287.60362042121164,290.59429931640625,29350536,0.0,0.0
2021-05-06,290.5943188172653,301.0616956528786,289.3980350098051,300.31402587890625,45032502,0.0,0.0
2021-05-07,302.05857994022887,304.99942646848694,299.5663474324712,301.8093566894531,41591323,0.0,0.0
2021-05-10,303.55391656784116,314.7191302658772,303.0554700710138,313.87176513671875,53260388,0.0,0.0
2021-05-11,308.5882219621897,319.75343594770646,307.1427453378284,314.569580078125,58472304,0.0,0.0
2021-05-12,317.2612007468756,333.70993542817473,315.26741472489994,324.98712158203125,111584920,0.0,0.0
2021-05-14,328.32672295609626,328.47625082487866,309.0368368913881,311.27984619140625,81305325,0.0,0.0
2021-05-17,314.42005355350426,322.8438117718843,310.43248145917255,320.10235595703125,51162423,0.0,0.0
2021-05-18,324.93727936299763,335.60401600725476,322.99332588072286,331.4170837402344,86153088,0.0,0.0
2021-05-19,312.0275154121285,321.9466131350688,311.1303177782432,313.4730224609375,119407026,0.0,0.0
2021-05-20,315.01818776174747,315.6163296458471,305.1489531537637,306.7439880371094,54043899,0.0,0.0
2021-05-21,311.0306089060837,314.7191250910609,308.538376462926,312.127197265625,40358753,0.0,0.0
2021-05-24,313.77205647273564,314.8187819026676,309.23620571268594,310.8810729980469,31963997,0.0,0.0
2021-05-25,314.5695635334638,318.0088564383426,312.8748637434039,314.2705078125,37382263,0.0,0.0
2021-05-26,315.1178867640136,319.00576342115687,313.82190759645897,314.5197448730469,28639717,0.0,0.0
2021-05-27,316.0649050593907,322.4450444276008,315.56645857267176,317.610107421875,49484106,0.0,0.0
2021-05-28,321.6475201677458,323.49177830116423,315.5166343060662,317.7596435546875,26618815,0.0,0.0
2021-05-31,317.70981107382215,318.7565365540748,311.13031119331424,317.7596435546875,30917309,0.0,0.0
2021-06-01,318.2082521836632,324.6880565699246,316.31413117870227,317.1116638183594,32595728,0.0,0.0
2021-06-02,314.96834617105225,323.39207351738554,314.6194275468559,321.9964294433594,26323777,0.0,0.0
2021-06-03,324.2892649761493,326.68183239812066,322.6443976906129,324.63818359375,21408371,0.0,0.0
2021-06-04,324.1397623362837,335.8532554285329,323.2425646946211,333.9093322753906,41278749,0.0,0.0
2021-06-07,338.69437921858037,349.9094248880698,338.69437921858037,344.426513671875,64986814,0.0,0.0
2021-06-08,345.17418745812756,355.5418681593217,336.4513740566586,351.65399169921875,44104954,0.0,0.0
2021-06-09,355.09328371652646,357.78487644877254,338.6943823925799,342.283203125,59334814,0.0,0.0
2021-06-10,344.1274775468121,346.769237925907,341.33615887873657,343.6788635253906,24351860,0.0,0.0
2021-06-11,344.9249755685362,351.80353113549546,343.28010821468325,349.66021728515625,36441967,0.0,0.0
2021-06-14,348.9623924865087,356.78800884544046,340.040218134344,354.8440856933594,38482142,0.0,0.0
2021-06-15,354.6446678299744,359.6291325921666,350.4078727821111,351.6041564941406,35526159,0.0,0.0
2021-06-16,349.01222659451275,354.8938888933052,347.01844070185376,348.2645568847656,27550588,0.0,0.0
2021-06-17,347.31750547862185,351.8035238541508,341.18661978328413,344.5760498046875,29236974,0.0,0.0
2021-06-18,344.57605163582116,345.82216785786795,327.97778964271004,336.3516845703125,49440514,0.0,0.0
2021-06-21,329.871891862399,334.7566615407362,325.1865129557329,333.2613220214844,29123887,0.0,0.0
2021-06-22,336.05262596765294,343.23023709150664,335.10556547790577,336.8501281738281,26708459,0.0,0.0
2021-06-23,339.9405087009461,342.18351792257994,333.26131351631045,334.2083740234375,25741628,0.0,0.0
2021-06-24,333.95914811955083,336.3516851857062,332.3142807879915,333.6102294921875,15580223,0.0,0.0
2021-06-25,334.8563473536646,341.73490286102606,334.8563473536646,338.5946960449219,22426352,0.0,0.0
2021-06-28,339.7411078830292,343.9280704753104,336.501205769856,341.7348937988281,17843975,0.0,0.0
2021-06-29,341.58538845936397,345.423432684859,338.5448769064226,340.4888000488281,22462297,0.0,0.0
2021-06-30,340.9373978984388,344.2769954536333,337.79719110761033,338.54486083984375,18277841,0.0,0.0
2021-07-01,340.4389641345543,346.3206268300721,340.1399083995871,343.180419921875,27944816,0.0,0.0
2021-07-02,344.2271507852981,344.47637404257756,339.44207641463663,343.8283996582031,18304387,0.0,0.0
2021-07-05,345.97168825779875,349.0122300276679,342.9311769106883,345.024658203125,18399524,0.0,0.0
2021-07-06,346.9187520746705,357.0870724942386,310.5321588254594,315.9153747558594,164083830,0.0,0.0
2021-07-07,315.01818822598943,318.1085626127585,305.2984814690167,316.1147766113281,112183313,0.0,0.0
2021-07-08,313.82189005769845,313.82189005769845,304.05235126802603,305.3981628417969,87360324,0.0,0.0
2021-07-09,304.84985064625744,307.89039238449993,300.9121417641352,305.3482971191406,48807214,0.0,0.0
2021-07-12,309.83431803534694,311.03060174964133,305.148939403671,306.4947509765625,32282319,0.0,0.0
2021-07-13,309.0368262112568,311.27983543375785,307.1925680993151,309.98388671875,25736308,0.0,0.0
2021-07-14,309.0368403524916,312.3265751935911,307.69102867285596,308.5882263183594,21863250,0.0,0.0
2021-07-15,309.5352645001039,311.87796904383515,306.644280996732,309.2860412597656,23617599,0.0,0.0
2021-07-16,310.13340060991874,314.46989099593407,309.53525875964795,310.2829284667969,25148606,0.0,0.0
2021-07-19,307.9901067622312,309.3358879838247,305.04926022170866,307.8904113769531,21346348,0.0,0.0
2021-07-20,306.046149265351,307.0430422597007,300.1146237798665,301.2112121582031,27672567,0.0,0.0
2021-07-22,304.55080125415094,306.4947547078555,300.1146153842913,301.6099548339844,21338361,0.0,0.0
2021-07-23,299.5663463843871,300.96199049929646,294.0834348865031,294.6317138671875,33435130,0.0,0.0
2021-07-26,294.08342432738743,296.07721025503076,290.09585247210083,292.2391662597656,27502360,0.0,0.0
2021-07-27,292.089633186872,296.72517930136115,287.7033103088904,290.4945983886719,55132877,0.0,0.0
2021-07-28,289.09896706934063,289.99616467569354,282.71885801856916,283.56622314453125,36139725,0.0,0.0
2021-07-29,286.6565759707998,294.4821922688739,286.6565759707998,291.9899597167969,57733359,0.0,0.0
2021-07-30,293.0865451279122,299.0679031917471,292.33887536993285,293.0367126464844,30589609,0.0,0.0
2021-08-02,298.22054567139844,298.469768930429,294.68158756226916,295.9277038574219,19273390,0.0,0.0
2021-08-03,297.5725530520491,303.55391090234156,296.7750508411138,302.75640869140625,31063992,0.0,0.0
2021-08-04,303.8031324966512,305.49786271413643,296.276602745001,297.2236328125,26186248,0.0,0.0
2021-08-05,294.58186678573645,299.96508263229464,291.8404111726712,298.7688293457031,20704901,0.0,0.0
2021-08-06,299.11773681640625,302.45733449936347,296.72519966628005,299.11773681640625,16001898,0.0,0.0
2021-08-09,299.81555786817574,303.254850750979,295.13014878475656,297.1737976074219,16985859,0.0,0.0
2021-08-10,296.9744048650138,299.2672769125058,290.0958495680549,293.2859191894531,15173990,0.0,0.0
2021-08-11,294.38248517164755,296.8747176245831,285.5600066264631,294.53204345703125,20802022,0.0,0.0
2021-08-12,296.37627417673326,306.4448994745141,296.37627417673326,305.04925537109375,33652880,0.0,0.0
2021-08-13,307.84055164675215,310.53217496321,302.1084167959064,306.2953796386719,34922863,0.0,0.0
2021-08-16,304.9994178852659,306.8935084533067,302.1084039194172,302.75640869140625,14348786,0.0,0.0
2021-08-17,301.85918483625767,301.85918483625767,291.89025494836596,296.7750549316406,25539214,0.0,0.0
2021-08-18,295.9775261019474,296.8248912378922,291.6908983640054,292.4385681152344,18004320,0.0,0.0
2021-08-20,288.60050669311596,289.7967903925534,280.1269166865823,282.22039794921875,32578752,0.0,0.0
2021-08-23,286.3076921963615,287.4042501980898,274.14558498431643,276.08953857421875,24498294,0.0,0.0
2021-08-24,277.634684886905,280.62536371872085,267.61592296942524,278.9306335449219,37589121,0.0,0.0
2021-08-25,281.92132256935446,288.30146197943657,281.57243436456884,283.516357421875,31538128,0.0,0.0
2021-08-26,283.96496587605753,286.45719827724685,280.7748962334318,283.4166564941406,17864053,0.0,0.0
2021-08-27,282.02103140416995,285.9089081269915,280.82477802478843,284.8621826171875,13477390,0.0,0.0
2021-08-30,289.19864968043896,292.58807961183356,288.9992589221623,291.04290771484375,17217097,0.0,0.0
2021-08-31,290.84353468137544,291.0429254518035,285.2110952785247,286.4073486328125,36951003,0.0,0.0
2021-09-01,288.102060703985,296.4759553457775,286.4073305307406,294.3326416015625,33103168,0.0,0.0
2021-09-02,294.33264756834285,295.379373011252,290.79368971587957,292.2391662597656,14907001,0.0,0.0
2021-09-03,291.59120238746493,295.52894190504924,291.0927558876573,294.6317138671875,16594135,0.0,0.0
2021-09-06,296.57565034910795,298.02115728461865,295.08031093558304,296.52581787109375,16622865,0.0,0.0
2021-09-07,296.42614821214113,296.8747318214656,289.9961760069751,293.6846923828125,14325904,0.0,0.0
2021-09-08,292.5880789502408,297.87159938228325,290.69398844192887,294.3326416015625,14920479,0.0,0.0
2021-09-09,293.0865466026214,302.5570302513456,292.6379325764724,298.02117919921875,34020970,0.0,0.0
2021-09-13,298.0710138542909,301.06169292306305,294.5818882740567,300.2641906738281,16339860,0.0,0.0
2021-09-14,301.31091212762146,306.2455446938529,301.2610796462496,305.1489562988281,23234649,0.0,0.0
2021-09-15,305.14894397113306,312.0274993743872,305.14894397113306,310.98077392578125,26808872,0.0,0.0
2021-09-16,312.4262644342722,314.02129934087316,306.69412960503405,310.68170166015625,26249369,0.0,0.0
2021-09-17,311.03060430440246,314.37020181337647,305.04924652931777,307.64117431640625,24972069,0.0,0.0
2021-09-20,303.95267438871076,309.28605810701805,296.3762813851793,298.02117919921875,19632688,0.0,0.0
2021-09-21,297.67224332664813,301.75951053877054,292.1893320579558,301.0118408203125,19439330,0.0,0.0
2021-09-22,302.2081168954789,312.82502161329296,302.0585890250682,309.13653564453125,29545253,0.0,0.0
2021-09-23,312.22689892430424,322.9933311260692,312.22689892430424,320.5010986328125,52701665,0.0,0.0
2021-09-24,324.0899062399087,325.93416429396956,315.0680067300063,316.9621276855469,28901243,0.0,0.0
2021-09-27,322.14597710184006,332.56352145196814,322.14597710184006,330.61956787109375,56305136,0.0,0.0
2021-09-28,332.9622647769307,334.95605079355903,323.4917811979461,328.27685546875,28497009,0.0,0.0
2021-09-29,323.9902193125769,331.9653631725788,322.9933263300767,329.2239074707031,19740150,0.0,0.0
2021-09-30,330.22078874594865,336.85012075999487,328.0774749941115,332.31427001953125,30268517,0.0,0.0
2021-10-01,331.6164604293404,336.25200693546793,324.6880721227338,332.2644348144531,29877695,0.0,0.0
2021-10-04,335.7535526409517,342.18352470621033,334.1086852636967,340.9374084472656,29553072,0.0,0.0
2021-10-05,339.392216593608,350.4078715089246,337.7971817909502,343.87823486328125,31861985,0.0,0.0
2021-10-06,345.9218807183568,347.6166110350727,333.95916438227533,335.0058898925781,25272592,0.0,0.0
2021-10-07,340.04019542484684,381.8100044483524,338.1959373605837,375.3302001953125,163238084,0.0,0.0
2021-10-08,384.7010090163691,396.31480657505546,378.8193463030579,381.76019287109375,93728117,0.0,0.0
2021-10-11,388.9377858565467,419.5922446600551,386.79447205727604,414.458251953125,113404983,0.0,0.0
2021-10-12,421.6857332699173,434.3462863669832,412.3149452818044,419.54241943359375,97349265,0.0,0.0
2021-10-13,461.4617518435616,522.2223603899029,461.4617518435616,505.3250427246094,197949387,0.0,0.0
2021-10-14,528.3532816852768,528.3532816852768,490.4713482814268,496.053955078125,103630901,0.0,0.0
2021-10-18,505.4247347962008,523.368808220918,502.0353047894172,508.01666259765625,72322623,0.0,0.0
2021-10-19,510.8578080552022,515.7924403621458,474.57088007712014,480.4027099609375,57428637,0.0,0.0
2021-10-20,480.3030163292003,495.45580150198634,469.78580776219525,485.3871765136719,55444814,0.0,0.0
2021-10-21,490.2221200297198,508.8141679127415,484.24076218492405,506.421630859375,52608672,0.0,0.0
2021-10-22,508.315722404363,509.1132550388602,485.885630443193,489.374755859375,42742785,0.0,0.0
2021-10-25,492.3654372823199,494.4589186271885,471.7796033070906,478.408935546875,33107841,0.0,0.0
2021-10-26,481.99775811442703,508.41542220963345,481.7485348682458,507.0696105957031,58027770,0.0,0.0
2021-10-27,504.17864361591444,504.9761458608344,494.4589366949947,496.35302734375,30361263,0.0,0.0
2021-10-28,492.3654398451244,492.3654398451244,477.06312642098845,479.55535888671875,25182748,0.0,0.0
2021-10-29,480.5024133302696,490.0725919624782,466.24685597525945,482.1971435546875,31054342,0.0,0.0
2021-11-01,484.9386182459285,488.1785205375303,468.34032524459116,484.1909484863281,34315690,0.0,0.0
2021-11-02,504.9263075094635,508.41543303025946,484.98844739062986,486.3342590332031,51580720,0.0,0.0
2021-11-03,482.2968137321072,493.46202732761355,480.1036674198624,483.3934020996094,22950198,0.0,0.0
2021-11-04,488.27816227278373,492.0165108929492,486.48376710420786,488.1784973144531,5531940,0.0,0.0
2021-11-08,492.3654352410821,503.28142550801067,488.72678195969235,499.8421325683594,31736426,0.0,0.0
2021-11-09,503.4309515610312,519.0323509327635,501.9356121009489,508.0664978027344,50458762,0.0,0.0
2021-11-10,504.6770675591961,514.3469415659772,498.6458772419133,509.1630859375,26615777,0.0,0.0
2021-11-11,508.4154094216845,517.3874460585378,499.44337278483124,501.8857727050781,29256213,0.0,0.0
2021-11-12,505.3749138965415,507.9668113346259,495.804735099526,505.4745788574219,20731808,0.0,0.0
2021-11-15,504.67707986542683,513.3002286299774,502.932517120213,503.87957763671875,18014977,0.0,0.0
2021-11-16,505.3250726214625,525.2130703871095,504.62726575163475,517.4373168945312,55897781,0.0,0.0
2021-11-17,518.6336032338558,535.032505884838,518.6336032338558,528.5028686523438,48463415,0.0,0.0
2021-11-18,529.7987858169332,532.5402415089673,499.74243816424257,508.1163635253906,47197742,0.0,0.0
2021-11-22,510.65843690799994,510.65843690799994,476.91360292820974,484.5896911621094,40044849,0.0,0.0
2021-11-23,482.8949613912852,497.79852385717646,475.5179593021766,493.9604797363281,27553684,0.0,0.0
